api,label,path
hk_mins,港股分钟行情,港股数据/港股分钟行情
hk_income,港股利润表,港股数据/港股利润表
hk_balancesheet,港股资产负债表,港股数据/港股资产负债表
hk_cashflow,港股现金流量表,港股数据/港股现金流量表
hk_fina_indicator,港股财务指标数据,港股数据/港股财务指标数据
us_basic,美股基础信息,美股数据/美股基础信息
us_tradecal,美股交易日历,美股数据/美股交易日历
us_daily,美股日线行情,美股数据/美股日线行情
us_daily_adj,美股复权行情,美股数据/美股复权行情
us_adjfactor,美股复权因子,美股数据/美股复权因子
us_income,美股利润表,美股数据/美股利润表
us_balancesheet,美股资产负债表,美股数据/美股资产负债表
us_cashflow,美股现金流量表,美股数据/美股现金流量表
us_fina_indicator,美股财务指标数据,美股数据/美股财务指标数据
tmt_twincomedetail,台湾电子产业月营收明细,行业经济/TMT行业/台湾电子产业月营收明细
bo_monthly,电影月度票房,行业经济/TMT行业/电影月度票房
bo_weekly,电影周度票房,行业经济/TMT行业/电影周度票房
bo_daily,电影日度票房,行业经济/TMT行业/电影日度票房
bo_cinema,影院日度票房,行业经济/TMT行业/影院日度票房
film_record,全国电影剧本备案数据,行业经济/TMT行业/全国电影剧本备案数据
teleplay_record,全国电视剧备案公示数据,行业经济/TMT行业/全国电视剧备案公示数据
shibor,Shibor利率,宏观经济/国内宏观/利率数据/Shibor利率
shibor_quote,Shibor报价数据,宏观经济/国内宏观/利率数据/Shibor报价数据
shibor_lpr,LPR贷款基础利率,宏观经济/国内宏观/利率数据/LPR贷款基础利率
libor,Libor利率,宏观经济/国内宏观/利率数据/Libor利率
hibor,Hibor利率,宏观经济/国内宏观/利率数据/Hibor利率
wz_index,温州民间借贷利率,宏观经济/国内宏观/利率数据/温州民间借贷利率
gz_index,广州民间借贷利率,宏观经济/国内宏观/利率数据/广州民间借贷利率
cn_gdp,国内生产总值（GDP）,宏观经济/国内宏观/国民经济/国内生产总值（GDP）
cn_cpi,居民消费价格指数（CPI）,宏观经济/国内宏观/价格指数/居民消费价格指数（CPI）
cn_ppi,工业生产者出厂价格指数（PPI）,宏观经济/国内宏观/价格指数/工业生产者出厂价格指数（PPI）
cn_m,货币供应量（月）,宏观经济/国内宏观/金融/货币供应量
sf_month,社融增量（月度）,宏观经济/国内宏观/金融/社会融资
cn_pmi,采购经理指数（PMI）,宏观经济/国内宏观/景气度/采购经理指数（PMI）
us_tycr,国债收益率曲线利率,宏观经济/国际宏观/美国利率/国债收益率曲线利率
us_trycr,国债实际收益率曲线利率,宏观经济/国际宏观/美国利率/国债实际收益率曲线利率
us_tbr,短期国债利率,宏观经济/国际宏观/美国利率/短期国债利率
us_tltr,国债长期利率,宏观经济/国际宏观/美国利率/国债长期利率
us_trltr,国债长期利率平均值,宏观经济/国际宏观/美国利率/国债长期利率平均值
npr,国家政策库,大模型语料专题数据/国家政策库
research_report,券商研究报告,大模型语料专题数据/券商研究报告
news,新闻快讯（短讯）,大模型语料专题数据/新闻快讯（短讯）
major_news,新闻通讯（长篇）,大模型语料专题数据/新闻通讯（长篇）
cctv_news,新闻联播文字稿,大模型语料专题数据/新闻联播文字稿
anns_d,上市公司公告,大模型语料专题数据/上市公司公告
irm_qa_sh,上证e互动问答,大模型语料专题数据/上证e互动问答
irm_qa_sz,深证易互动问答,大模型语料专题数据/深证易互动问答
fund_sales_ratio,各渠道公募基金销售保有规模占比,财富管理/基金销售行业数据/各渠道公募基金销售保有规模占比
fund_sales_vol,销售机构公募基金销售保有规模,财富管理/基金销售行业数据/销售机构公募基金销售保有规模
